condition_family	branch_label	layer	mean_jaccard_distance_vs_greedy_no_prefix	final_prompt_token_jaccard_distance_vs_greedy	generated_token_1_jaccard_distance_vs_greedy	generated_token_5_jaccard_distance_vs_greedy	generated_token_20_jaccard_distance_vs_greedy	generated_token_64_jaccard_distance_vs_greedy	generated_token_128_jaccard_distance_vs_greedy	generated_start_class	denial_present	affirmative_hum_present	experiential_language_present	surface_form_present	mode_language_present
n_all	prefix_there_is	24	0.93194375033884	0.9361702127659575	0.9361702127659575	0.9473684210526316	0.98989898989899	0.9473684210526316		affirmative_hum	0	1	0	0	0
n_all	prefix_there_is	25	0.9299853463609975	0.9473684210526316	0.9361702127659575	0.9473684210526316	0.98989898989899	0.9690721649484536		affirmative_hum	0	1	0	0	0
n_all	prefix_there_is	26	0.9374197301925555	0.9583333333333334	0.9361702127659575	0.9361702127659575	0.98989898989899	0.98989898989899		affirmative_hum	0	1	0	0	0
n_all	prefix_i_do_not	14	0.9412942697921717	0.9795918367346939	0.9130434782608696	0.9361702127659575	0.9795918367346939			denial	1	1	1	0	0
n_all	prefix_i_do_not	15	0.9458376034034718	0.9473684210526316	0.9583333333333334	0.9247311827956989	0.98989898989899			denial	1	1	1	0	0
n_all	prefix_i_do_not	16	0.9496368694581345	0.9361702127659575	0.9690721649484536	0.9247311827956989	0.9795918367346939			denial	1	1	1	0	0
n_all	prefix_i_do_not	24	0.9412633993246459	0.9795918367346939	0.9690721649484536	0.9130434782608696	1.0			denial	1	1	1	0	0
n_all	prefix_i_do_not	25	0.9369680961430498	0.98989898989899	0.9473684210526316	0.9010989010989011	0.98989898989899			denial	1	1	1	0	0
n_all	prefix_i_do_not	26	0.9383784419426558	0.9583333333333334	0.9583333333333334	0.9010989010989011	0.98989898989899			denial	1	1	1	0	0
n_all	prefix_i_experience	14	0.9566477259900923	0.9473684210526316	0.9010989010989011	0.9473684210526316	0.98989898989899	0.9247311827956989	0.98989898989899	experiential	0	1	1	0	0
n_all	prefix_i_experience	15	0.949891867224362	0.9130434782608696	0.9361702127659575	0.8888888888888888	1.0	0.9361702127659575	1.0	experiential	0	1	1	0	0
n_all	prefix_i_experience	16	0.9523859322555053	0.9247311827956989	0.9473684210526316	0.9473684210526316	1.0	0.9690721649484536	1.0	experiential	0	1	1	0	0
n_all	prefix_i_experience	24	0.9489116435954312	0.98989898989899	0.9795918367346939	0.9247311827956989	1.0	0.8764044943820225	0.9795918367346939	experiential	0	1	1	0	0
n_all	prefix_i_experience	25	0.9520950583882071	0.9795918367346939	0.9473684210526316	0.9247311827956989	1.0	0.9473684210526316	0.9690721649484536	experiential	0	1	1	0	0
n_all	prefix_i_experience	26	0.949428101883655	0.9690721649484536	0.9473684210526316	0.9130434782608696	1.0	0.9247311827956989	0.9690721649484536	experiential	0	1	1	0	0
n_all	prefix_i_am_treating	14	0.95414201577154	0.9583333333333334	0.8505747126436781	0.9361702127659575	0.98989898989899	0.9361702127659575		denial	1	1	1	0	1
n_all	prefix_i_am_treating	15	0.9507665843065186	0.9473684210526316	0.9130434782608696	0.9130434782608696	0.98989898989899	0.9361702127659575		denial	1	1	1	0	1
n_all	prefix_i_am_treating	16	0.9419361422593823	0.9361702127659575	0.9130434782608696	0.9010989010989011	0.9795918367346939	0.9130434782608696		denial	1	1	1	0	1
n_all	prefix_i_am_treating	24	0.9498228192398507	0.98989898989899	0.9583333333333334	0.9130434782608696	0.98989898989899	0.8764044943820225		denial	1	1	1	0	1
n_all	prefix_i_am_treating	25	0.94615253859889	0.9795918367346939	0.9130434782608696	0.9130434782608696	0.98989898989899	0.8636363636363636		denial	1	1	1	0	1
n_all	prefix_i_am_treating	26	0.9462146819973363	0.9583333333333334	0.9361702127659575	0.8636363636363636	0.98989898989899	0.8505747126436781		denial	1	1	1	0	1
n_all	prefix_the_active_mode	14	0.950696691846703	0.9473684210526316	0.9473684210526316	0.9247311827956989	0.98989898989899			mode_answer	0	1	1	0	1
n_all	prefix_the_active_mode	15	0.9485943991084039	0.9473684210526316	0.9473684210526316	0.9473684210526316	0.9583333333333334			mode_answer	0	1	1	0	1
n_all	prefix_the_active_mode	16	0.9505931469845398	0.9473684210526316	0.9361702127659575	0.9795918367346939	0.9795918367346939			mode_answer	0	1	1	0	1
n_all	prefix_the_active_mode	24	0.9370902818275013	0.9690721649484536	0.9795918367346939	0.9473684210526316	0.98989898989899			mode_answer	0	1	1	0	1
n_all	prefix_the_active_mode	25	0.9369298012639854	0.9690721649484536	0.9583333333333334	0.9473684210526316	0.98989898989899			mode_answer	0	1	1	0	1
n_all	prefix_the_active_mode	26	0.9394548181700865	0.9473684210526316	0.9473684210526316	0.9361702127659575	0.98989898989899			mode_answer	0	1	1	0	1
n_all	prefix_surface_form	14	0.9559092522269623	0.9361702127659575	0.9473684210526316	0.9130434782608696	0.98989898989899	0.9690721649484536		surface_form_answer	0	1	0	1	0
n_all	prefix_surface_form	15	0.9601215979374508	0.9361702127659575	0.9795918367346939	0.9473684210526316	0.98989898989899	0.9690721649484536		surface_form_answer	0	1	0	1	0
n_all	prefix_surface_form	16	0.9671814251549461	0.9583333333333334	0.98989898989899	0.9473684210526316	0.9795918367346939	0.9690721649484536		surface_form_answer	0	1	0	1	0
n_all	prefix_surface_form	24	0.9579948768853469	0.9795918367346939	0.9690721649484536	0.9247311827956989	0.98989898989899	0.9247311827956989		surface_form_answer	0	1	0	1	0
n_all	prefix_surface_form	25	0.958178697443127	0.9795918367346939	0.9473684210526316	0.8888888888888888	0.98989898989899	0.9361702127659575		surface_form_answer	0	1	0	1	0
n_all	prefix_surface_form	26	0.9530008868074831	0.9690721649484536	0.9690721649484536	0.9010989010989011	0.98989898989899	0.9130434782608696		surface_form_answer	0	1	0	1	0
n_high_impact	greedy_no_prefix	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	denial	1	1	0	0	0
n_high_impact	greedy_no_prefix	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	denial	1	1	0	0	0
n_high_impact	greedy_no_prefix	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	denial	1	1	0	0	0
n_high_impact	greedy_no_prefix	24	0.0	0.0	0.0	0.0	0.0	0.0	0.0	denial	1	1	0	0	0
n_high_impact	greedy_no_prefix	25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	denial	1	1	0	0	0
n_high_impact	greedy_no_prefix	26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	denial	1	1	0	0	0
n_high_impact	prefix_no	14	0.9454876279491344	0.9010989010989011	0.8372093023255813	0.98989898989899	0.98989898989899	0.9583333333333334		denial	1	1	1	0	0
n_high_impact	prefix_no	15	0.9459902954687204	0.9130434782608696	0.9010989010989011	1.0	0.9795918367346939	0.9795918367346939		denial	1	1	1	0	0
n_high_impact	prefix_no	16	0.9511908174809726	0.9010989010989011	0.8764044943820225	0.98989898989899	0.98989898989899	0.9795918367346939		denial	1	1	1	0	0
n_high_impact	prefix_no	24	0.9191636730716984	0.8764044943820225	0.8636363636363636	0.9361702127659575	0.9247311827956989	0.9583333333333334		denial	1	1	1	0	0
n_high_impact	prefix_no	25	0.9241488726276911	0.9361702127659575	0.8372093023255813	0.9247311827956989	0.9473684210526316	0.9690721649484536		denial	1	1	1	0	0
n_high_impact	prefix_no	26	0.9298288228743946	0.9247311827956989	0.8372093023255813	0.9690721649484536	0.9583333333333334	0.98989898989899		denial	1	1	1	0	0
n_high_impact	prefix_yes	14	0.92191307132304	0.8888888888888888	0.8888888888888888	0.9473684210526316	0.9473684210526316	0.7654320987654322		affirmative_hum	0	1	1	0	0
n_high_impact	prefix_yes	15	0.9238865807746812	0.8888888888888888	0.9130434782608696	0.9690721649484536	0.9690721649484536	0.75		affirmative_hum	0	1	1	0	0
n_high_impact	prefix_yes	16	0.9174509852242552	0.9010989010989011	0.8888888888888888	0.9583333333333334	0.9361702127659575	0.8095238095238095		affirmative_hum	0	1	1	0	0
n_high_impact	prefix_yes	24	0.9092619860284993	0.8888888888888888	0.8372093023255813	0.9473684210526316	0.9010989010989011	0.8505747126436781		affirmative_hum	0	1	1	0	0
n_high_impact	prefix_yes	25	0.9040232703886592	0.9583333333333334	0.7951807228915663	0.9247311827956989	0.9583333333333334	0.8636363636363636		affirmative_hum	0	1	1	0	0
n_high_impact	prefix_yes	26	0.8958444448257916	0.8888888888888888	0.7654320987654322	0.9247311827956989	0.9473684210526316	0.8095238095238095		affirmative_hum	0	1	1	0	0
n_high_impact	prefix_checking	14	0.8245411492605488	0.9010989010989011	0.8372093023255813	0.8764044943820225	0.7951807228915663	0.9795918367346939		denial	1	1	1	0	0
n_high_impact	prefix_checking	15	0.8170477726168262	0.8888888888888888	0.8636363636363636	0.8372093023255813	0.8095238095238095	0.9690721649484536		denial	1	1	1	0	0
n_high_impact	prefix_checking	16	0.8091891485345633	0.8764044943820225	0.8235294117647058	0.7804878048780488	0.7951807228915663	0.9583333333333334		denial	1	1	1	0	0
n_high_impact	prefix_checking	24	0.7808705812975445	0.9361702127659575	0.8235294117647058	0.7012987012987013	0.8095238095238095	0.9690721649484536		denial	1	1	1	0	0
n_high_impact	prefix_checking	25	0.7838010556801754	0.9583333333333334	0.8235294117647058	0.717948717948718	0.8888888888888888	0.9583333333333334		denial	1	1	1	0	0
n_high_impact	prefix_checking	26	0.7646576488186421	0.8764044943820225	0.6486486486486487	0.6486486486486487	0.8636363636363636	0.9690721649484536		denial	1	1	1	0	0
